Name,Number,8:30 - 9:30,9:30 - 10:30,10:30-11:30,11:30 - 12:30,12:30 - 1:30,1:30 - 2:30,2:30 - 3:30,3:30 - 4:30,4:30 - 5:30
Calculus I,21-111,"[0, 1, 0, 1, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
Calculus II,21-112,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
Differential and Integral Calculus,21-120,"[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
Integration and Approximation,21-122-1,"[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 0, 0, 0, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]"
Integration and Approximation,21-122-2,"[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 0, 0, 0, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]"
Integration and Approximation,21-122-3,"[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 0, 0, 0, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]"
Integration and Approximation,21-122-4,"[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 0, 0, 0, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]"
Calculus II for Biologists and Chemists,21-124,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
Concepts of Mathematics,21-127-1,"[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 0, 0, 0, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]"
Concepts of Mathematics,21-127-2,"[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 0, 0, 0, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]"
Concepts of Mathematics,21-127-3,"[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 0, 0, 0, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]"
Concepts of Mathematics,21-127-4,"[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 0, 0, 0, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]"
Concepts of Mathematics,21-127-5,"[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 0, 0, 0, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]"
