,8:30 - 9:30,9:30 - 10:30,10:30-11:30,11:30 - 12:30,12:30 - 1:30,1:30 - 2:30,2:30 - 3:30,3:30 - 4:30,4:30 - 5:30
1,"[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[0, 1, 0, 1, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[1, 1, 1, 1, 1]"
2,"[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[0, 1, 0, 1, 0]","[1, 0, 0, 1, 0]","[1, 1, 1, 1, 1]"
3,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[1, 1, 1, 1, 1]"
4,"[0, 0, 1, 0, 1]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 1, 1, 1]","[1, 1, 0, 1, 0]","[1, 0, 1, 0, 1]","[0, 1, 0, 0, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
5,"[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[0, 1, 0, 1, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[0, 0, 0, 0, 0]"
6,"[0, 1, 0, 0, 0]","[0, 1, 1, 0, 0]","[1, 0, 0, 1, 0]","[0, 0, 1, 1, 1]","[0, 0, 1, 1, 1]","[1, 1, 1, 0, 1]","[1, 0, 0, 1, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 1, 1]"
7,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 1, 0, 1]","[0, 0, 0, 0, 0]","[1, 0, 0, 1, 0]","[1, 1, 1, 1, 1]"
8,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[1, 1, 1, 1, 1]"
9,"[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[0, 1, 0, 1, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 0, 1]","[0, 0, 0, 0, 0]","[1, 0, 1, 0, 0]","[1, 0, 0, 1, 1]"
10,"[1, 0, 1, 1, 1]","[0, 0, 1, 0, 1]","[0, 1, 1, 1, 0]","[0, 0, 0, 1, 1]","[0, 1, 1, 0, 0]","[0, 0, 1, 0, 1]","[0, 0, 0, 1, 1]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]"
11,"[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[0, 1, 0, 1, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[1, 1, 1, 1, 1]"
12,"[1, 0, 1, 0, 0]","[1, 0, 1, 0, 1]","[0, 1, 1, 1, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 0, 0, 1]","[1, 0, 0, 1, 1]","[1, 1, 0, 0, 1]","[1, 1, 1, 1, 1]"
13,"[0, 1, 0, 0, 0]","[0, 1, 1, 0, 0]","[1, 0, 0, 1, 0]","[0, 0, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[1, 1, 1, 1, 1]"
14,"[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[0, 1, 0, 1, 0]","[0, 0, 0, 0, 0]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[1, 1, 1, 1, 1]","[0, 0, 1, 0, 1]"
15,"[0, 1, 0, 0, 1]","[1, 1, 1, 1, 1]","[1, 0, 1, 0, 1]","[1, 0, 1, 0, 1]","[0, 1, 0, 1, 0]","[1, 0, 1, 0, 1]","[0, 1, 1, 1, 0]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]"
16,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","[0, 1, 0, 0, 0]","[0, 1, 1, 0, 0]","[1, 0, 0, 1, 0]","[0, 1, 1, 0, 0]","[1, 0, 0, 1, 0]","[0, 0, 1, 1, 1]","[0, 0, 0, 0, 0]"
