Timestamp,Name,Which courses would you be interested in being a TA or grader for in Fall 2019?  (Select all that apply),,,,,,
4/12/2019 14:26:55,Student 1,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-228: Discrete Mathematics (TA or Grader), 21-300: Basic Logic (Grader), 21-301: Combinatorics (Grader), 21-325: Probability (Grader), 21-341: Linear Algebra (Grader), 21-355: Principles of Real Analysis I (Grader), 21-356: Principles of Real Analysis II (Grader), 21-370: Discrete Time Finance (Grader), 21-373: Algebraic Structures (Grader), 21-378: Mathematics of Fixed Income Markets (Grader), 21-441: Number Theory (Grader)",,,,,,
4/16/19 14:53,Student 2,"21-111: Calculus I, 21-112: Calculus II, 21-120: Differential and Integral Calculus, 21-122: Integration and Approximation, 21-127: Concepts of Mathematics, 21-240: Matrix Algebra with Applications, 21-241: Matrices and Linear Transformations, 21-260: Differential Equations, 21-301: Combinatorics, 21-325: Probability, 21-355: Principles of Real Analysis I, 21-356: Principles of Real Analysis II",,,,,,
4/8/2019 2:41:56,Student 3,"21-228: Discrete Mathematics (TA or Grader), 21-241: Matrices and Linear Transformations (TA), 21-242: Matrix Theory (TA), 21-301: Combinatorics (Grader), 21-325: Probability (Grader), 21-355: Principles of Real Analysis I (Grader), 21-356: Principles of Real Analysis II (Grader), 21-373: Algebraic Structures (Grader)",,,,,,
4/9/2019 17:47:05,Student 4,"21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader), 21-240: Matrix Algebra with Applications (TA), 21-241: Matrices and Linear Transformations (TA), 21-259: Calculus in Three Dimensions (TA), 21-260: Differential Equations (TA), 21-301: Combinatorics (Grader), 21-325: Probability (Grader), 21-355: Principles of Real Analysis I (Grader), 21-373: Algebraic Structures (Grader)",,,,,,
4/26/19 20:45,Student 5,"21-111: Calculus I, 21-112: Calculus II, 21-120: Differential and Integral Calculus, 21-122: Integration and Approximation, 21-228: Discrete Mathematics",,,,,,
4/20/2019 19:39:20,Student 6,"21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader), 21-240: Matrix Algebra with Applications (TA), 21-241: Matrices and Linear Transformations (TA), 21-242: Matrix Theory (TA), 21-256: Multivariate Analysis (TA), 21-259: Calculus in Three Dimensions (TA), 21-268: Multidimensional Calculus (TA or Grader)",,,,,,
4/23/2019 16:18:19,Student 7,"21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader), 21-301: Combinatorics (Grader), 21-325: Probability (Grader), 21-441: Number Theory (Grader)",,,,,,
4/16/2019 11:11:34,Student 8,"21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader), 21-241: Matrices and Linear Transformations (TA), 21-242: Matrix Theory (TA)",,,,,,
4/9/2019 2:27:55,Student 9,"21-127: Concepts of Mathematics (TA or Grader), 21-241: Matrices and Linear Transformations (TA), 21-259: Calculus in Three Dimensions (TA)",,,,,,
4/16/2019 11:45:31,Student 10,21-256: Multivariate Analysis (TA),,,,,,
4/27/2019 1:59:02,Student 11,21-370: Discrete Time Finance (Grader),,,,,,
4/7/2019 16:19:58,Student 12,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader), 21-241: Matrices and Linear Transformations (TA), 21-373: Algebraic Structures (Grader)",,,,,,
4/10/2019 22:07:54,Student 13,"21-370: Discrete Time Finance (Grader), 21-378: Mathematics of Fixed Income Markets (Grader)",,,,,,
4/7/2019 16:05:38,Student 14,"21-237: Mathematical Studies Algebra I (TA), 21-341: Linear Algebra (Grader), 21-373: Algebraic Structures (Grader), 21-441: Number Theory (Grader)",,,,,,
4/22/2019 14:49:49,Student 15,"21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader)",,,,,,
4/7/2019 15:40:18,Student 16,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-256: Multivariate Analysis (TA), 21-259: Calculus in Three Dimensions (TA)",,,,,,
4/17/2019 18:19:26,Student 17,"21-120: Differential and Integral Calculus (TA), 21-256: Multivariate Analysis (TA), 21-260: Differential Equations (TA)",,,,,,
4/15/2019 19:34:12,Student 18,"21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader), 21-241: Matrices and Linear Transformations (TA), 21-260: Differential Equations (TA)",,,,,,
4/23/2019 9:47:20,Student 19,"21-127: Concepts of Mathematics (TA or Grader), 21-256: Multivariate Analysis (TA), 21-341: Linear Algebra (Grader), 21-378: Mathematics of Fixed Income Markets (Grader)",,,,,,
4/21/2019 11:10:15,Student 20,"21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader), 21-241: Matrices and Linear Transformations (TA), 21-259: Calculus in Three Dimensions (TA)",,,,,,
4/20/2019 17:42:14,Student 21,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader), 21-240: Matrix Algebra with Applications (TA), 21-241: Matrices and Linear Transformations (TA)",,,,,,
4/25/2019 17:37:10,Student 22,21-127: Concepts of Mathematics (TA or Grader),,,,,,
4/7/19 15:51,Student 23,"21-127: Concepts of Mathematics, 21-242: Matrix Theory",,,,,,
4/7/2019 18:08:05,Student 24,"21-241: Matrices and Linear Transformations (TA), 21-242: Matrix Theory (TA), 21-268: Multidimensional Calculus (TA or Grader)",,,,,,
4/7/2019 16:16:02,Student 25,"21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-240: Matrix Algebra with Applications (TA), 21-241: Matrices and Linear Transformations (TA), 21-260: Differential Equations (TA)",,,,,,
4/9/2019 18:00:39,Student 26,"21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader), 21-241: Matrices and Linear Transformations (TA), 21-242: Matrix Theory (TA), 21-259: Calculus in Three Dimensions (TA), 21-268: Multidimensional Calculus (TA or Grader), 21-373: Algebraic Structures (Grader)",,,,,,
4/20/2019 19:17:41,Student 27,"21-228: Discrete Mathematics (TA or Grader), 21-235: Mathematical Studies Analysis I (TA)",,,,,,
